image_path,machining_type,speed,condition_id,ra_target
C:\Users\user\Desktop\5000 - BETTER\data\End_Milling\5000\5000-1\20260728145040514.jpg,End_Milling,5000.0,5000-1,1.4786
C:\Users\user\Desktop\5000 - BETTER\data\End_Milling\5000\5000-1\20260728145043792.jpg,End_Milling,5000.0,5000-1,1.4786
C:\Users\user\Desktop\5000 - BETTER\data\End_Milling\5000\5000-1\20260728145046727.jpg,End_Milling,5000.0,5000-1,1.4786
C:\Users\user\Desktop\5000 - BETTER\data\End_Milling\5000\5000-1\20260728145049457.jpg,End_Milling,5000.0,5000-1,1.4786
C:\Users\user\Desktop\5000 - BETTER\data\End_Milling\5000\5000-1\20260728145052304.jpg,End_Milling,5000.0,5000-1,1.4786
C:\Users\user\Desktop\5000 - BETTER\data\End_Milling\5000\5000-1\20260728145054694.jpg,End_Milling,5000.0,5000-1,1.4786
C:\Users\user\Desktop\5000 - BETTER\data\End_Milling\5000\5000-1\20260728145057353.jpg,End_Milling,5000.0,5000-1,1.4786
C:\Users\user\Desktop\5000 - BETTER\data\End_Milling\5000\5000-1\20260728145059718.jpg,End_Milling,5000.0,5000-1,1.4786
C:\Users\user\Desktop\5000 - BETTER\data\End_Milling\5000\5000-1\20260728145102129.jpg,End_Milling,5000.0,5000-1,1.4786
C:\Users\user\Desktop\5000 - BETTER\data\End_Milling\5000\5000-1\20260728145104199.jpg,End_Milling,5000.0,5000-1,1.4786
C:\Users\user\Desktop\5000 - BETTER\data\End_Milling\5000\5000-1\20260728145106516.jpg,End_Milling,5000.0,5000-1,1.4786
C:\Users\user\Desktop\5000 - BETTER\data\End_Milling\5000\5000-1\20260728145109018.jpg,End_Milling,5000.0,5000-1,1.4786
C:\Users\user\Desktop\5000 - BETTER\data\End_Milling\5000\5000-1\20260728145112542.jpg,End_Milling,5000.0,5000-1,1.4786
C:\Users\user\Desktop\5000 - BETTER\data\End_Milling\5000\5000-1\20260728145115638.jpg,End_Milling,5000.0,5000-1,1.4786
C:\Users\user\Desktop\5000 - BETTER\data\End_Milling\5000\5000-1\20260728145119092.jpg,End_Milling,5000.0,5000-1,1.4786
